clave_entidad,clave_actividad_economica,anio_censal,UE,A111A,H001A
2,3141,2014,8,92.486,423
2,3149,2014,58,88.363,828
2,3151,2014,5,13.334,151
2,3152,2014,412,1606.447,12515
2,3159,2014,14,26.427,198
2,3162,2014,4,113.925,315
2,3169,2014,23,107.757,615
2,3221,2014,7,4332.972,1932
2,3222,2014,134,6182.864,7308
2,3231,2014,531,1956.735,8812
2,3251,2014,5,234.438,167
2,3252,2014,3,102.422,231
2,3253,2014,6,148.563,63
2,3254,2014,15,699.846,765
2,3255,2014,10,344.354,422
2,3256,2014,19,199.553,1216
2,3259,2014,23,873.13,4300
2,3261,2014,155,9377.974,21345
2,3262,2014,23,1076.473,2745
2,3271,2014,161,539.375,1598
2,3272,2014,29,2821.681,2368
2,3273,2014,123,2484.324,2014
2,3274,2014,44,28.002,134
2,3279,2014,62,462.926,1379
2,3312,2014,10,1937.329,1048
2,3313,2014,4,1040.009,502
2,3315,2014,11,178.859,575
2,3321,2014,7,58.883,205
2,3322,2014,9,117.824,680
2,3323,2014,822,916.232,3832
2,3324,2014,9,1467.446,546
2,3325,2014,8,1122.749,2879
2,3326,2014,14,1623.32,682
2,3327,2014,188,580.888,4427
2,3328,2014,40,1009.571,3985
2,3329,2014,57,3155.991,10758
2,3331,2014,8,204.121,672
2,3332,2014,7,33.335,114
2,3333,2014,15,445.511,1313
2,3334,2014,15,547.227,1896
2,3335,2014,4,20.44,95
2,3336,2014,4,485.211,1295
2,3339,2014,20,1467.096,3676
2,3342,2014,5,710.869,2193
2,3343,2014,29,6692.413,25801
2,3344,2014,105,7348.912,31876
2,3345,2014,11,1122.574,3663
2,3351,2014,17,811.182,2615
2,3352,2014,10,1100.867,1968
2,3353,2014,21,992.55,3126
2,3359,2014,32,2215.728,8663
2,3362,2014,21,1052.799,3251
2,3363,2014,31,4258.992,15141
2,3364,2014,18,3527.211,8171
2,3366,2014,5,25.439,81
2,3369,2014,12,21.756,82
2,3371,2014,505,1765.06,10088
2,3372,2014,28,1795.191,2154
2,3379,2014,27,509.827,2853
2,3391,2014,170,9944.437,42226
2,3399,2014,205,4718.816,15473
2,4311,2014,531,6787.786,12975
2,4312,2014,64,1877.47,3205
2,4321,2014,72,530.771,681
2,4331,2014,65,1506.905,977
2,4332,2014,36,109.045,570
2,4333,2014,19,62.626,98
2,4334,2014,85,270.257,768
2,4335,2014,31,91.254,311
2,4341,2014,186,350.344,1308
2,4342,2014,1058,4677.513,10225
2,4343,2014,403,1468.845,2620
2,4351,2014,47,154.851,359
2,4352,2014,86,344.463,939
2,4353,2014,274,682.432,1921
2,4354,2014,204,1027.072,1833
2,4361,2014,44,326.934,446
2,4611,2014,15260,4032.82,34230
2,4612,2014,1359,512.891,3343
2,4621,2014,1828,8881.558,26432
2,4622,2014,86,1417.771,4852
2,4631,2014,237,176.076,1433
2,4632,2014,3406,753.074,7939
2,4633,2014,611,238.905,1953
2,4641,2014,1805,1932.543,7799
2,4651,2014,548,190.19,1524
2,4652,2014,482,116.278,1151
2,4653,2014,1914,421.986,4415
2,4659,2014,1401,180.449,2901
2,4661,2014,635,687.432,2886
2,4662,2014,668,418.897,2253
2,4663,2014,654,158.353,1600
2,4664,2014,2725,210.313,4371
2,4671,2014,1813,1836.734,7887
2,4681,2014,475,1041.798,2890
2,4682,2014,1535,1380.586,6904
2,4683,2014,25,7.613,82
2,4684,2014,793,3149.604,9264
2,4691,2014,24,8.919,190
2,4841,2014,122,2238.72,3581
2,4842,2014,42,347.846,543
2,4851,2014,35,430.519,2863
2,4852,2014,13,346.512,969
2,4854,2014,16,206.892,590
2,4871,2014,9,150.541,439
2,4872,2014,7,5.251,31
2,4881,2014,8,162.25,293
2,4883,2014,8,190.93,118
2,4884,2014,66,627.905,495
2,4885,2014,411,1192.323,4059
2,4889,2014,3,0.522,11
2,4921,2014,14,66.537,363
2,4931,2014,38,491.864,494
2,5151,2014,46,283.868,623
2,5179,2014,78,129.006,410
2,5182,2014,6,17.409,23
2,5191,2014,17,12.381,126
2,5223,2014,50,78.528,288
